IDPelanggan,Kelamin,Usia,Pendapatan (juta Rp),Rating_pengeluaran (1-100)
0114,Laki,19,64,46
0115,Perempuan,18,65,48
0116,Perempuan,19,65,50
0117,Perempuan,63,65,43
0118,Perempuan,49,65,59
0119,Perempuan,51,67,43
0120,Perempuan,50,67,57
0121,Laki,27,67,56
0122,Perempuan,38,67,40
0123,Perempuan,40,69,58
0124,Laki,39,69,91
0125,Perempuan,23,70,29
0126,Perempuan,31,70,77
0127,Laki,43,71,35
0128,Laki,40,71,95
0129,Laki,59,71,11
0130,Laki,38,71,75
0131,Laki,47,71,9
0132,Laki,39,71,75
0133,Perempuan,25,72,34
0134,Perempuan,31,72,71
0135,Laki,20,73,5
0136,Perempuan,29,73,88
0137,Perempuan,44,73,7
0138,Laki,32,73,73
0139,Laki,19,74,10
0140,Perempuan,35,74,72
0141,Perempuan,57,75,5
0142,Laki,32,75,93
0143,Perempuan,28,76,40
0144,Perempuan,32,76,87
0145,Laki,25,77,12
0146,Laki,28,77,97
0147,Laki,48,77,36
0148,Perempuan,32,77,74
0149,Perempuan,34,78,22
0150,Laki,34,78,90
0151,Laki,43,78,17
0152,Laki,39,78,88
0153,Perempuan,44,78,20
0154,Perempuan,38,78,76
0155,Perempuan,47,78,16
0156,Perempuan,27,78,89
0157,Laki,37,78,1
0158,Perempuan,30,78,78
0159,Laki,34,78,1
0160,Perempuan,30,78,73
0161,Perempuan,56,79,35
0162,Perempuan,29,79,83
0163,Laki,19,81,5
0164,Perempuan,31,81,93
0165,Laki,50,85,26
0166,Perempuan,36,85,75
0167,Laki,42,86,20
0168,Perempuan,33,86,95
0169,Perempuan,36,87,27
0170,Laki,32,87,63
0171,Laki,40,87,13
0172,Laki,28,87,75
0173,Laki,36,87,10
0174,Laki,36,87,92
0175,Perempuan,52,88,13
0176,Perempuan,30,88,86
0177,Laki,58,88,15
0178,Laki,27,88,69
0179,Laki,59,93,14
0180,Laki,35,93,90
0181,Perempuan,37,97,32
0182,Perempuan,32,97,86
0183,Laki,46,98,15
0184,Perempuan,29,98,88
0185,Perempuan,41,99,39
0186,Laki,30,99,97
0187,Perempuan,54,101,24
0188,Laki,28,101,68
0189,Perempuan,41,103,17
0190,Perempuan,36,103,85
0191,Perempuan,34,103,23
0192,Perempuan,32,103,69
0193,Laki,33,113,8
0194,Perempuan,38,113,91
0195,Perempuan,47,120,16
0196,Perempuan,35,120,79
0197,Perempuan,45,126,28
0198,Laki,32,126,74
0199,Laki,32,137,18
0200,Laki,30,137,83
